item_id,headline,category,source,collected_at,gold_label,annotator,batch,notes,split
1,Charles 'Sonny' Burton is slated for execution. He hopes the Alabama governor will grant him clemency,domestic,CNN,2026-03-10 13:24:57.430,passive_clause,codex,B01,,train
5,US investigators begin search of Epstein's former ranch in New Mexico,domestic,Al Jazeera,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
6,"Shots Fired at U.S. Consulate in Toronto, Police Say",domestic,The New York Times,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
7,Iran war's oil shock fuels GOP political anxiety,domestic,The Washington Post,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
8,Growing Evidence U.S. Tomahawk Struck School In Iran,domestic,Forbes,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
9,Georgia special election to replace MTG tests the power of Trump's endorsement,domestic,NPR,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
10,Trump's 'free flow of energy' vow fails to restart shipping in strait of Hormuz,domestic,The Guardian,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
14,"Trio named to replace Alina Habba as U.S. attorney is also serving illegally, judge says",domestic,The Washington Post,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
17,GOP lawmaker says he's leaving the Republican Party and will serve as an independent,domestic,AP News,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
18,"Hawaii to see 'potentially life threatening weather' with torrential rain, flooding",domestic,San Francisco Chronicle,2026-03-10 13:24:57.430,noun_phrase_fragment,codex,B01,,train
20,Kentucky soldier stationed in Saudi Arabia is 7th U.S. military death in Iran war,domestic,PBS,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
24,"'No words spoken': Chinatown stabbing suspect has criminal record, prominent father",domestic,The San Francisco Standard,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
25,"Democrats threaten more Iran war powers votes, call for Hegseth, Rubio to testify",domestic,CNBC,2026-03-10 13:24:57.430,simple_clause,codex,B01,,train
26,"PSP Honors Fallen Corporal Timothy O'Connor Jr., Killed During Traffic Stop",domestic,Commonwealth of Pennsylvania (.gov),2026-03-10 13:24:57.430,simple_clause,codex,B02,,train
