item_id,headline,category,gold_label,gold_lead_frame,suggested_agency_style,gold_agency_style,suggested_density_band,gold_density_band,suggested_rhetorical_mode,gold_rhetorical_mode,annotator,batch,suggested_lead_frame
1,Charles 'Sonny' Burton is slated for execution. He hopes the Alabama governor will grant him clemency,domestic,passive_clause,actor_entity_first,passive_agent_omitted,passive_agent_omitted,medium_density,medium_density,straight_report,straight_report,codex,B01,actor_entity_first
2,Alexander brothers convicted of sex trafficking in Manhattan federal court,domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
3,US Steps Up Iran Strikes as Oil Industry Faces More Upheaval,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
4,FBI hunts for clues after 2 men charged with lighting bombs at NYC protest,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
5,US investigators begin search of Epstein's former ranch in New Mexico,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
6,"Shots Fired at U.S. Consulate in Toronto, Police Say",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
7,Iran war's oil shock fuels GOP political anxiety,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
8,Growing Evidence U.S. Tomahawk Struck School In Iran,domestic,simple_clause,action_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,action_first
9,Georgia special election to replace MTG tests the power of Trump's endorsement,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B01,actor_entity_first
10,Trump's 'free flow of energy' vow fails to restart shipping in strait of Hormuz,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B01,actor_entity_first
11,Workers at OpenAI show support for Anthropic as the company says it could lose $5 billion in its feud with the Pentagon,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,analysis_explainer,analysis_explainer,codex,B01,actor_entity_first
12,Capitol agenda: Trump's Doral demands ripple through GOP,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,analysis_explainer,codex,B01,actor_entity_first
13,"Judge limits crowd control devices at Portland ICE building, says federal officers must identify themselves Oregon Public Broadcasting",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
14,"Trio named to replace Alina Habba as U.S. attorney is also serving illegally, judge says",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
15,DOJ's Ed Martin faces ethics charges from disciplinary office over threatening letter to Georgetown University,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
16,"Democrats' Reckless DHS Shutdown Hits Americans Hard as 100,000+ Workers Go Without Pay",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
17,GOP lawmaker says he's leaving the Republican Party and will serve as an independent,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B01,actor_entity_first
18,"Hawaii to see 'potentially life threatening weather' with torrential rain, flooding",domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
19,U.S. and Iran Predicted a Very Different War Than the One Now Being Waged,domestic,simple_clause,actor_entity_first,passive_agent_omitted,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B01,actor_entity_first
20,Kentucky soldier stationed in Saudi Arabia is 7th U.S. military death in Iran war,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
21,Wife Of Teacher Killed In High School Prank Wants Charges Dropped,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
22,Rand Paul eyes next week for Mullin DHS confirmation hearing,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
23,Oakland police identify both people killed in weekend mass shooting,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
24,"'No words spoken': Chinatown stabbing suspect has criminal record, prominent father",domestic,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,context_first
25,"Democrats threaten more Iran war powers votes, call for Hegseth, Rubio to testify",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B01,actor_entity_first
26,"PSP Honors Fallen Corporal Timothy O'Connor Jr., Killed During Traffic Stop",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first
27,"""Disgusting sh*t"": Rep. Andy Ogles' anti Muslim post sparks furious internal backlash",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first
28,Trump administration widens its 2020 election probe as it obtains records from Arizona,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B02,actor_entity_first
29,Champion high school mariachi musician and family released from immigration detention after growing outcry,domestic,passive_clause,actor_entity_first,active_or_nonpassive,passive_agent_omitted,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first
30,"Ohio State president resigns after 'inappropriate relationship,"" university announces",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first
